ich i
phoenixinseln phoenix
schwarzäugige black-eyed
großzügig generous
weniger less
leuten folks
schriftsteller writer
spezialisten specialists
unterstützt supporting
70ern 70s
ökonomie economics
begleitet accompanied
buddhistischen buddhist
motiviert motivated
verschreiben prescribe
schlangen snakes
italienische italian
umgebung surroundings
versteckt hiding
zerbrechlich fragile
beeindruckend impressive
mitgefühl compassion
fortgeschrittene advanced
älterer elderly
tintenfisch squid
wissenschaftler scientists
animationen animations
welche which
menschheitsgeschichte history
herausgefunden figured
dreiecke triangles
offensichtlich obviously
bewaffneten armed
wildnis wilderness
senden sending
verwirrt confused
erschwinglich affordable
kurz shortly
lungenentzündung pneumonia
dänemark denmark
fließt flows
plattformen platforms
plötzlichen sudden
gelegentlich occasionally
schlage propose
magnetische magnetic
kommen come
subventionen subsidies
kombinationen combinations
versichern assure
1990ern 1990s
kriminellen criminal
bezieht refers
jungfrau virgin
stimmung mood
nenner denominator
akademiker academics
astronauten astronauts
obdachlosen homeless
mord murder
besucher visitors
unterschätzen underestimate
annahme assumption
bewohner residents
finanzierung funding
pfeile arrows
ehefrau wife
kollision collision
kacheln tiles
angenehme pleasant
journalismus journalism
schlange snake
nenne calling
beigetragen contributed
mittelalterliche medieval
entfernten distant
politische policy
1980ern 1980s
rhythmen rhythms
heißer hotter
fluktuationen fluctuations
versicherung insurance
hafen harbor
vereinbarung agreement
schnurrbart mustache
schwamm swam
freundlichkeit kindness
meerwasser seawater
aufnahme recording
migräne migraine
pfeil arrow
schiffen ships
gemeinkosten overhead
kriminelle criminals
sonde probe
ladungen charges
riesenhaie basking
kanadischen canadian
leiter ladder
wach awake
erfordern require
wertschätzung appreciation
neurowissenschaftler neuroscientists
schwangerschaft pregnancy
weltall outer
verhandlungen negotiations
bundesregierung federal
verkörperung embodiment
atheismus atheism
richtigen proper
knoten nodes
erholen recover
königinnen queens
erschien appeared
satelliten satellite
anpassung adaptation
hielt held
mitfühlend compassionate
erfüllen fulfill
empfehlen recommend
wiederholt repeatedly
mathematisch mathematically
bereich domain
anstrengungen effort
afghanische afghan
auch also
tragische tragic
äpfel apples
entstehung emergence
hinterlassen leaving
einrichtungen facilities
unbeabsichtigte unintended
heutzutage nowadays
akzent accent
gebete prayers
zufrieden satisfied
beschleunigung acceleration
angegriffen attacked
pro-kopf-einkommen capita
überwältigende overwhelming
erweiterte extended
projektion projection
angewandt applied
ersparnisse savings
standort location
gefallen fallen
bewundern admire
hört hears
phänomenale phenomenal
finanzieren fund
merkmal feature
temporäre temporary
tropischen tropical
ermutigt encouraged
mysteriöse mysterious
empfindlich sensitive
abschied goodbye
erdoberfläche earth's
kosmologie cosmology
nutzpflanzen crops
norwegen norway
treibt drives
lymphknoten lymph
vorbereitung preparation
traurigkeit sadness
zweidimensionalen two-dimensional
räumliche spatial
dauer duration
transportieren transport
zufriedenheit satisfaction
sequenziert sequenced
variabilität variability
wahrgenommen perceived
spritze syringe
skeptisch skeptical
misst measures
diagnostizieren diagnose
erscheint appears
spanisch spanish
definitionen definitions
rechenleistung computing
café cafe
vergleichbar comparable
grab grave
abweichung divergence
prinz prince
nächte nights
sexualität sexuality
überwachung surveillance
exotische exotic
spielern players
gastgeber host
brieftasche wallet
erotische erotic
präsidenten presidents
lampe lamp
zwischen between
entweder either
hängen hang
scannen scan
sänger singers
diktatoren dictators
umfragen surveys
erfüllung fulfillment
persönlichkeiten personalities
dreieck triangle
skript script
symmetrische symmetrical
völker peoples
glücklicherweise fortunately
waschen wash
tiefen depths
überprüfen check
leinwand canvas
vorhersehbar predictable
bestrafen punish
warnung warning
geehrt honored
erschossen shot
anteil proportion
karibik caribbean
verhaltensökonomie behavioral
senf mustard
lasche flap
kupfer copper
jahreszeiten seasons
seeleoparden leopard
betonen emphasize
augenlicht sight
interventionen interventions
verursachen causing
unternehmerische entrepreneurial
genesung recovery
finnland finland
keine none
moschee mosque
filmemacher filmmakers
tugend virtue
detektoren detectors
bibliotheken libraries
stürme storms
ernten harvest
raumstation station
chirurgische surgical
ausrede excuse
wiese meadow
menschenmenge crowd
drittens thirdly
raumzeit space-time
entkommen escape
wissenschaften sciences
realistische realistic
gefängnisse prisons
gewalttätig violent
kehrte returned
stirn forehead
siebte seventh
zufall coincidence
gefangenendilemma prisoner's
anthropologen anthropologists
detaillierte detailed
zusammenhang correlation
arbeitsplatz workplace
entschlossenheit determination
abends evening
kürzer shorter
kritiker critic
rettung rescue
süß cute
verkauf sale
hemisphäre hemisphere
aussehen appearance
konsumiert consumed
isst eats
weiche soft
meeresfrüchte seafood
logische logical
konstruiert constructed
zimmergenossin roommate
fortsetzung sequel
untersuchung investigation
ausgewählt chosen
weltanschauung worldview
herstellung manufacturing
kontinuität continuity
demografische demographic
gespeichert stored
wiederholte repeated
flexibilität flexibility
philippinen philippines
scheiße shit
zahnbürste toothbrush
dringlichkeit urgency
erzogen raised
streiten arguing
ägyptische egyptian
betrunken drunk
bindung attachment
fotografien photographs
gefüttert fed
geplant planned
installationen installations
qualitäten qualities
verarbeitung processing
beobachtet watching
unvermeidlich inevitable
betrügen cheat
drücken push
gelandet landed
50ern 50s
geologen geologists
beruhigen calm
entspannen relax
unternehmertum entrepreneurship
revolutionieren revolutionize
einschränkungen constraints
glatte smooth
seltsamen weird
verlangsamt slowed
wäsche laundry
schlagzeile headline
winkel angle
gramm gram
zwecke purposes
fehlern mistakes
theoretischen theoretical
wohingegen whereas
reaktoren reactors
introvertierte introverts
schwefel sulfur
steuer tax
gezählt counted
würdig worthy
autoritäre authoritarian
garantiere guarantee
ausbruch outbreak
löschen delete
erhöht increases
strichmännchen stick
wahlmöglichkeiten choices
zeichnete drew
zum finally
gestimmt voted
sprache language
stärksten strongest
eingeschlossen locked
beschleunigt accelerating
bemühungen efforts
denker thinkers
schlachtfeld battlefield
provinz province
fische fishes
dokumentiert documented
seine its
kooperieren cooperate
sorge concern
700.000 700,000
datenbanken databases
geschichtenerzähler storyteller
behinderungen disabilities
verboten banned
psychologe psychologist
trägt carries
implantiert implanted
glücklicherweise luckily
globalisierten globalized
verachtung contempt
geschwindigkeiten speeds
befindet located
sicherheitsrat council
zusammensetzung composition
revolutionäre revolutionary
pubertät puberty
erwartung expectation
mönch monk
übergewichtig overweight
sieben seven
börse stock
gesetzgebung legislation
unterbrochen interrupted
wägezelle load
stickstoffmonoxid nitric
schienen tracks
lieferkette supply
erfassung census
verknüpfte linked
bewahren preserve
neurologische neurological
allmählich gradually
soziologen sociologists
stiftungen foundations
verdreifacht tripled
große big
kino cinema
mikrosekunden microseconds
hinterhof backyard
80er 80s
entwaldung deforestation
einführen introduce
statische static
überdenken rethink
pfeifen whistling
schnecke snail
meister masters
gezogen pulled
zitiert quoted
vernünftige reasonable
kritik criticism
relativitätstheorie relativity
wasserfall waterfall
gefährdete endangered
installiert installed
entscheidend crucial
sinnvollen meaningful
bedingung condition
gefangenen prisoners
dusche shower
kommunistischen communist
schrecklichen horrible
fußabdruck footprint
versprach promised
gewinne profits
verwalten manage
unsicher insecure
helfen help
säure acid
umkehren reverse
ausmaß extent
benötigt required
scheiben slices
beantwortet answered
akustische acoustic
größen sizes
häuptling chief
multiplizieren multiply
besprechungen meetings
gedruckt printed
schreibt writes
verwandten relatives
beängstigend frightening
berichtet reported
erholt recovered
wochenenden weekends
erkennt recognizes
fischen fishing
sterbende dying
erwerben acquire
standpunkt standpoint
steigende rising
sucht addiction
verkündete announced
firmen companies
praktiken practices
hasste hated
symbolische symbolic
getragen carried
scharfen sharp
treibende driving
erinnern remembering
niederlage defeat
heimlich secretly
zentimeter inch
flugzeugen airplanes
raumschiff spaceship
mikroskopisch microscopic
tödlich deadly
geschätzt estimated
dinge things
unter under
genauigkeit accuracy
rechteck rectangle
münzen coins
acht eight
zählt counts
elektrode electrode
biblischen biblical
hersteller manufacturer
primäre primary
vorlieben preferences
lizenz license
schöpfer creator
blogosphäre blogosphere
städte cities
ellenbogen elbow
nachkommen offspring
nachteil disadvantage
1950ern 1950s
gewidmet devoted
ehen marriages
reflexion reflection
unverändert unchanged
narben scars
stoffwechsel metabolism
astronomische astronomical
untersuchen examine
hochland highlands
spielerisch playful
diplomaten diplomats
osterinsel easter
biomedizinischen biomedical
enzym enzyme
schüchtern shy
technologen technologists
folge episode
asiatischen asian
bestätigen confirm
europäer europeans
komponist composer
einschränkung limitation
transportiert transported
manuskript manuscript
wünschte wished
olivenöl olive
freiheiten freedoms
schrift writing
außenministerin secretary
widerstehen resist
glaubwürdigkeit credibility
rucksack backpack
hinweis clue
chemiker chemists
göttlichen divine
mittelalter ages
kümmert cares
dunkelsten darkest
unsinn nonsense
sag tell
schwedischen swedish
500.000 500,000
österreich austria
verstorbenen deceased
personalisierten personalized
bestehen pass
bewusste conscious
technologie technology
griechenland greece
verlierer loser
geschichtenerzählens storytelling
gesichtsausdrücke facial
endlose endless
entspannt relaxed
ähnlichkeiten similarities
sonnenuntergang sunset
lieben loving
tuberkulose tuberculosis
verbreitet spreads
sandkörner grains
ausgerottet eradicated
geben give
problematisch problematic
gelehrten scholars
kleber glue
mutterleib womb
arabisch arabic
anonymität anonymity
tektonischen tectonic
angesicht face-to-face
authentisch authentic
mondfisch mola
willkommen welcome
begehen commit
fahrten rides
haushaltsgeräte appliances
massenaussterben extinctions
wohnwagen trailer
staugebühren congestion
scham shame
hyäne hyena
stoff fabric
freiwillig volunteer
mehl flour
bürokratie bureaucracy
allianz alliance
homosexualität homosexuality
identitäten identities
